orig_string,country,city
"Universität Duisburg-Essen, Deutschland",Deutschland,
Universität Erfurt,,
"Universität Graz, Österreich",Österreich,Graz
"Universität Greifswald, Deutschland",Deutschland,
Universität Hamburg,,Hamburg
"Universität Heidelberg, Deutschland",Deutschland,
"Universität Innsbruck, Österreich",Österreich,
Universität Mailand,,
"Universität Münster, Deutschland",Deutschland,
"Universität Paderborn, Deutschland",Deutschland,
"Universität Paderborn, Musikwissenschaftliches Seminar Detmold/Paderborn, Deutschland",Deutschland,
Universität Paderborn,,
"Universität Passau, Deutschland",Deutschland,Passau
"Universität Postdam, Deutschland",Deutschland,
"Universität Regensburg, Deutschland",Deutschland,
"Universität Sankt Gallen, CH",,
"Universität Siegen, Deutschland",Deutschland,
"Universität Stuttgart, Deutschland",Deutschland,
"Universität Köln, Deutschland",Deutschland,Köln
"Universität Stuttgart, Institut für Architektur von Anwendungssystemen (IAAS)",,
Universität zu Köln,,Köln
"Universität Trier, Deutschland",Deutschland,Trier
"Universität Trier, Servicezentrum eSciences, Deutschland",Deutschland,Trier
"Universität Wien, Österreich",Österreich,Wien
"Universität Würzburg, Deutschland",Deutschland,
Universität Würzburg,,
"Universität zu Köln, Cologne Center for eHumanities (CCeH)",,Köln
"Universität zu Köln, Data Center for the Humanities (DCH)",,Köln
"Universität zu Köln, Data Center for the Humanities (DCH)",,Köln
"Universität zu Köln, Institut für Digital Humanities (IDH)",,Köln
"Universität zu Köln, Data Center for the Humanities (DCH); Universität zu Köln, Institut für Linguistik (IfL)",,Köln
"Universität zu Köln, Institut für Digital Humanities (IDH)",,Köln
Cologne Center for eHumanities,,
"Universitätsbibliothek Heidelberg, Deutschland",Deutschland,
Université de Tours,,
"Université Le Mans, Frankreich",Frankreich,
"University of Hamburg, Deutschland",Deutschland,Hamburg
"Westfälische Wilhelms Universität Münster, Deutschland",Deutschland,
Wittgenstein Archiv Universität Bergen/Norwegen,Norwegen,Bergen
WU Wien,,Wien
"Zentrum für Informationsmodellierung, Universität Graz, Österreich",Österreich,Graz
"Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften",Österreich,
"Zentrum für Philologie und Digitalität „Kallimachos“, Universität Würzburg, Deutschland",Deutschland,
"Lehrstuhl für Künstliche Intelligenz und Angewandte Informatik, Universität Würzburg, Deutschland",Deutschland,
Akademie der Wissenschaften und der Literatur | Mainz,,Mainz
"Akademie der Wissenschaften und der Literatur, Mainz",,Mainz
"Akademie der Wissenschaften und Literatur | Mainz, Deutschland",Deutschland,Mainz
"BBAW, Deutschland",Deutschland,
"Beethoven-Haus Bonn, Deutschland",Deutschland,Bonn
"Berlin, Deutschland",Deutschland,Berlin
"Bibliotheca Hertziana, Roma, Italien",Italien,Roma
"FAU Erlangen-Nürnberg, Deutschland",Deutschland,
"TU Berlin, Berlin, Deutschland",Deutschland,Berlin
Center für Digitale Systeme,,
"Centrum für Religionswissenschaftliche Studien, Ruhr-Universität Bochum, Deutschland",Deutschland,Bochum
"Chair of Applied Computer Science and Artificial Intelligence, Universität Würzburg, Deutschland",Deutschland,
"Chair of Literary Computing, Universität Würzburg, Deutschland",Deutschland,
"Citlab, Universität Rostock",,
"Cologne Center for eHumanities (CCeH), Universität zu Köln, Deutschland",Deutschland,Köln
Theaterwissenschaftliche Sammlung der Universität zu Köln,,Köln
"Computer Vision Lab, TU Wien",,Wien
"Data Center for the Humanities (DCH), Universität zu Köln",,Köln
"Data Center for the Humanities, Universität zu Köln, Deutschland",Deutschland,Köln
"Data Center for the Humanities, Universität zu Köln",,Köln
"Deutsche Nationalbibliothek, Frankfurt a.M.",,Frankfurt
"Deutsches Historisches Institut Paris, Frankreich",Frankreich,Paris
"Deutsches Museum, Deutschland",Deutschland,
"Digital Humanities Lab, EPF Lausanne",,Lausanne
"Donau Universität Krems, Österreich",Österreich,
"Electronic Textual Cultures Lab, University of Victoria, Canada",Kanada,Victoria
Forschungsverbund Marbach Weimar Wolfenbüttel,,
Herzog August Bibliothek Wolfenbüttel,,
Herzog August Bibliothek Wolfenbüttel,,
Forschungsverbund MWW | Herzog August Bibliothek Wolfenbüttel,,
"Forschungsverbund MWW | Klassik Stiftung Weimar, Deutschland",Deutschland,
"Forschungsverbund MWW, Deutschland",Deutschland,
"Freier Journalist und Informatiker, Berlin",,Berlin
Freies Deutsches Hochstift,,
Frankfurter Goethe-Museum,,Frankfurt
"Friedrich-Alexander-Universität Erlangen-Nürnberg, Deutschland",Deutschland,
"GCDH, Universität Göttingen, Deutschland",Deutschland,
"Georg-August-Universität Göttingen, Deutschland",Deutschland,
"Germanisches Nationalmuseum Nürnberg, Deutschland",Deutschland,
Germanisches Nationalmuseum,,
"Goethe Universität Frankfurt am Main, Deutschland",Deutschland,Frankfurt
"Goethe Universität Frankfurt am Main, Kunstgeschichtliches Institut, Deutschland, Deutsches Forum für Kunstgeschichte Paris, Frankreich",Deutschland,Paris
"Goethe Universität Frankfurt am Main, Kunstgeschichtliches Institut, Deutschland",Deutschland,Frankfurt
"Deutsches Forum für Kunstgeschichte Paris, Frankreich",Frankreich,Paris
"Goethe Universität Frankfurt, Deutschland",Deutschland,Frankfurt
"Goethe University of Frankfurt, Deutschland",Deutschland,Frankfurt
"Goethe-Universität Frankfurt, Deutschland",Deutschland,Frankfurt
"Hamburger Zentrum für Sprachkorpora, Universität Hamburg, Deutschland",Deutschland,Hamburg
"Hochschule Mainz - University of Applied Sciences, Deutschland",Deutschland,Mainz
"Hochschule Mainz – University of Applied Sciences, Deutschland",Deutschland,Mainz
Hochschule Mainz – University of Applied Sciences,,Mainz
"Institut für Deutsche Sprache, Deutschland",Deutschland,
"Institut für Deutsche Sprache, Mannheim, Deutschland",Deutschland,Mannheim
Institut für Dokumentologie und Editorik (IDE),,
Berlin-Brandenburgische Akademie der Wissenschaften,,Berlin
Karl-Franzens-Universität Graz,,Graz
Österreichische Nationalbibliothek,Österreich,
"Institut für Geoinformatik, WWU Münster, Deutschland",Deutschland,
"Institut für Linguistik, Universität zu Köln",,Köln
"Institut für maschinelle Sprachverarbeitung, Universität Stuttgart, Deutschland",Deutschland,
Johann Wolfgang Goethe-Universität Frankfurt am Main,,Frankfurt
"Johannes Gutenberg-Universität Mainz, Deutschland",Deutschland,Mainz
Johannes Gutenberg-Universität Mainz,,Mainz
"Johannes Gutenberg-Universität, Deutschland",Deutschland,
Universitätsarchiv Mainz,,Mainz
"Julius-Maximilians-Universität, Deutschland",Deutschland,
Karl-Franzens-Universität Graz,,Graz
"Karlsruher Institut für Technologie, Deutschland",Deutschland,
"Landesarchiv Baden-Württemberg, Deutschland",Deutschland,
"Language Technology Group, Universität Hamburg, Deutschland",Deutschland,Hamburg
"Le Mans Université, Frankreich",Frankreich,
"Max-Planck-Institut für europäische Rechtsgeschichte, Deutschland",Deutschland,
"MLU Halle/Wittenberg, Deutschland",Deutschland,Halle
"Nasjonalbiblioteket, Oslo, Norwegen",Norwegen,Oslo
"Niedersächsische Staats- und Universitätsbibliothek Göttingen, Deutschland",Deutschland,
Niedersächsische Staats- und Universitätsbibliothek Göttingen,,
"Niedersächsische Staats- und Universitätsbibliothek, Göttingen, Deutschland",Deutschland,
"ÖAW, Wien",,Wien
"Österreichische Akademie der Wissenschaften, Wien, Österreich",Österreich,Wien
"Rheinische Friedrich-Wilhelms-Universität, Abteilung für Altamerikanistik, Deutschland",Deutschland,
"La Trobe University, Department of Archaeology and History, Australien",Australien,
Römisch-Germanische Kommission des Deutschen Archäologischen Instituts,,
"Ruprecht-Karls-Universität, Heidelberg",,
"RWTH Aachen, Deutschland",Deutschland,
"Sächsische Akademie der Wissenschaften zu Leipzig, Deutschland",Deutschland,Leipzig
"Universität Leipzig, Deutschland",Deutschland,Leipzig
School of Information Sciences at the University of Illinois at Urbana Champaign,,Illinois
"Sprache und Raum Laboratorium, Universität Zürich, Schweiz",Schweiz,
"Staatsarchiv des Kantons Zürich, Schweiz",Schweiz,
Steinbuch Centre for Computing / KIT,,
"Steinheim-Institut, Deutschland",Deutschland,
"Stiftung Preußischer Kulturbesitz, Berlin",,Berlin
"Stiftung Preußischer Kulturbesitz, Deutschland",Deutschland,
Stiftung Preußischer Kulturbesitz,,
"Studienzentrum der Leopoldina / Nationale Akademie der Wissenschaften, Deutschland",Deutschland,
"Technische Universität Dresden, Deutschland",Deutschland,
"Technische Universität Hamburg, Deutschland",Deutschland,Hamburg
"Theodor-Fontane-Archiv, Universität Potsdam, Deutschland",Deutschland,
"ULB Darmstadt, Deutschland",Deutschland,
unabhängiger Wissenschaftler,,
"Università di Bologna, Italien",Italien,
"Universität Bonn, Abteilung für Altamerikanistik, Deutschland",Deutschland,Bonn
"Universität des Saarlandes, Saarbrücken, Deutschland",Deutschland,Saarbrücken
Universität Erlangen,,
"Universität Göttingen, Deutschland",Deutschland,
Universität Graz,,Graz
"Universität Heidelberg, Interdisziplinäres Zentrum für wissenschaftliches Rechnen, Heidelberg",,
Universität Heidelberg,,
"Universität Hildesheim, Deutschland",Deutschland,
Universität Leipzig,,Leipzig
Universität Luxemburg,,
"Universität Osnabrück, Deutschland",Deutschland,
"Universität Potsdam, Deutschland",Deutschland,
"Universität St. Gallen, Schweiz",Schweiz,
Universität Wien,,Wien
"Universität Zürich, Schweiz",Schweiz,
"Universitätsbibliothek Leipzig, Deutschland",Deutschland,Leipzig
University of Appliend Sciences Potsdam,,
"Urban Complexity Lab, Fachhochschule Potsdam, Deutschland",Deutschland,
"Akademie der Wissenschaften Mainz - Digitale Akademie, Deutschland",Deutschland,Mainz
"ACDH, Österreich",Österreich,
"ACDH-ÖAW, Österreichische Akademie der Wissenschaften, Österreich",Österreich,
Akademie der Wissenschaften und der Literatur Mainz,,Mainz
Johann Wolfgang Goethe-Universität Frankfurt am Main,,Frankfurt
"Akademie der Wissenschaften zu Göttingen, Deutschland",Deutschland,
"and Service Center for the Humanities DaSCH, Universität Basel (DHLab) und Schweizerische Akademie der Geistes- und Sozialwissenschaften, Schweiz",Schweiz,Basel
"Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften, Österreich",Österreich,
"Bach-Archiv Leipzig, Deutschland",Deutschland,Leipzig
"Berlin-Brandenburgische Akademie der Wisesnschaften, Deutschland",Deutschland,Berlin
Beste Worte GmbH,,
"Birkbeck, University of Lonfon",,Lonfon
"bitGilde IT Solutions UG, Deutschland",Deutschland,
"Black Mesa Technologies LLC, New Mexico",,New Mexico
"Brandenburgisches Zentrum für Medienwissenschaften, Potsdam",,
"Buchbinderei Mohr, Trier, Deutschland",Deutschland,Trier
"CCeH, Universität Köln, Deutschland",Deutschland,Köln
"Centar za digitalne humanističke nauke, Serbien",Serbien,
"Center for Digital Humanities, Universität Trier, Deutschland",Deutschland,Trier
Center for Informatics Research and Technology (CIRT),,
Universität Trier,,Trier
"Consiglio Nazionale delle Ricerche, Italien",Italien,
"Det Danske Sprog- og Litteraturselskab, Dänmark",,
"Deutsches Archäologisches Institut, Deutschland",Deutschland,
"DFKI GmbH, Deutschland",Deutschland,
"Donau-Universität Krems, Österreich",Österreich,
"Eberhard Karls Universität Tübingen, Deutschland",Deutschland,
Humboldt Universität zu Berlin,,Berlin
Eberhard Karls Universität Tübingen,,
"Eesti Keele Instituut, Estland",Estland,
Fachhochschule St. Pölten,,
"FAU Erlangen-Nürnberg, Deutschland, Germanistik, und TU Darmstadt, Computerphilologie und Mediävistik",Deutschland,
FernUniversität in Hagen,,Hagen
Deutsches Literaturarchiv Marbach,,
Klassik Stiftung Weimar,,
Fraunhofer IAIS,,
"Freie Universität Berlin, Deutschland, Institut für Philosophie",Deutschland,Berlin
"Friedrich-Alexander Universität Erlangen-Nürnberg, Deutschland",Deutschland,
"FSU Jena, Deutschland",Deutschland,Jena
"Georg-August-Universität Göttingen, Deutschland - GCDH/Archäologisches Institut",Deutschland,
Georg-August-Universität Göttingen,,
Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung (GEI),,
German Historical Institute Washington,,
"Germanisches Nationalmuseum, Deutschland",Deutschland,
"Germanisches Nationalmuseum, Nürnberg",,
"Goethe Universität Frankfurt, Germany",Deutschland,Frankfurt
Goethe-Universität Frankfurt,,Frankfurt
"Göttingen Centre for Digital Humanities, Georg-August Universität Göttingen, Deutschland",Deutschland,
"Graduiertenkolleg „Modell Romantik“, Friedrich-Schiller-Universität Jena, Jena, Deutschland",Deutschland,Jena
"Jena University Language & Information Engineering Lab (JULIE Lab), Friedrich-Schiller-Universität Jena, Jena, Deutschland",Deutschland,Jena
"Forschungsverbund Marbach Weimar Wolfenbüttel, Deutschland",Deutschland,
"Historisches Datenzentrum Sachsen-Anhalt, Martin-Luther-Universität Halle-Wittenberg, Deutschland",Deutschland,Halle
"Hochschule für angewandte Wissenschaften, Hamburg",,Hamburg
"HU Berlin, Deutschland",Deutschland,Berlin
Humboldt Universität zu Berlin,,Berlin
"Humboldt-Universität, Berlin",,Berlin
"ICARUS, Wien, Österreich",Österreich,Wien
IDS Mannheim,,Mannheim
Universität Mannheim,,Mannheim
"Institut für Deutsche Philologie, Julius-Maximilians-Universität Würzburg",,
"Institut für die Geschichte der deutschen Juden (IGdJ), Deutschland",Deutschland,
Institut für Dokumentologie und Editorik e.V.,,
Berlin-Brandenburgische Akademie der Wissenschaften,,Berlin
Universität zu Köln/CCeH,,Köln
"Institut für Europäische Geschichte, Deutschland",Deutschland,
"Institut für Germanistik, AAU Klagenfurt",,
"Institut für Literaturwissenschaft, Universität Stuttgart, Deutschland",Deutschland,
"Institut für Literaturwissenschaft, Universität Stuttgart",,
"Institut für Literaturwissenschaft, Universtität Stuttgart, Deutschland",Deutschland,
"Institut für Maschinelle Sprachverarbeitung, Universität Stuttgart, Deutschland",Deutschland,
"Institut für Maschinelle Sprachverarbeitung, Universität Stuttgart",,
"Institut Josef Sefan, Slowenien",,
"Institute for Bulgarian Language, Bulgarien",,
"Instituut voor Nederlandse Lexicologie, Niederlande",Niederlande,
"Akademie der Wissenschaften und der Literatur Mainz, Deutschland",Deutschland,Mainz
"Technische Universität Darmstadt, Deutschland",Deutschland,
"Akademie der Wissenschaften und der Literatur Mainz, Deutschland",Deutschland,Mainz
"K Dictionaries Ltd., Israel",Israel,
Open Knowledge Forum Österreich,Österreich,
"Kobenhavns Universitet, Dänemark",,
"Lehrstuhl für Digital Humanities, Universität Passau, Deutschland",Deutschland,Passau
