orig_string	country	city	city_wd	parent_institution_normalized	parent_type	parent_wd	parent_wikidata_uri	parent_reconci	parent_factgrid	parent_ROR	parent_ROR_link	parent_url	institutional_subunit_normalized	subunit_wd	subunit_wikidata_uri	subunit_reconci	subunit_factgrid	subunit_ROR	subunit_ROR_link	subunit_url
Georg Eckert Institut für internationale Schulbuchforschung, Deutschland	Deutschland			Georg-Eckert-Institut - Leibniz-Institut für internationale Schulbuchforschung		Q1503374	http://www.wikidata.org/entity/Q1503374	Leibniz-Institut für Bildungsmedien – Georg-Eckert-Institut	Q272441	01hnv8x68	https://ror.org/01hnv8x68									
Georg-Eckert-Institut Braunschweig	Deutschland	Braunschweig	Q2773	Georg-Eckert-Institut - Leibniz-Institut für internationale Schulbuchforschung		Q1503374	http://www.wikidata.org/entity/Q1503374	Leibniz-Institut für Bildungsmedien – Georg-Eckert-Institut	Q272441	01hnv8x68	https://ror.org/01hnv8x68									
Georg-Eckert-Institut, Leibniz-Institut für internationale Schulbuchforschung, Deutschland	Deutschland			Georg-Eckert-Institut - Leibniz-Institut für internationale Schulbuchforschung		Q1503374	http://www.wikidata.org/entity/Q1503374	Leibniz-Institut für Bildungsmedien – Georg-Eckert-Institut	Q272441	01hnv8x68	https://ror.org/01hnv8x68									
Germanisches Nationalmuseum Nürnberg	Deutschland	Nürnberg	Q2090	Germanisches Nationalmuseum Nürnberg	Museum	Q478695	http://www.wikidata.org/entity/Q478695	Germanisches Nationalmuseum	Q23379	02fv99722	https://ror.org/02fv99722									
Gesellschaft für wissenschaftliche Datenverarbeitung mgH Göttingen; DE	Deutschland	Göttingen	Q3033	Gesellschaft für wissenschaftliche Datenverarbeitung mbH, Göttingen		Q1490164	http://www.wikidata.org/entity/Q1490164	Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen		00cd95c65	https://ror.org/00cd95c65									
HAB, Deutschland	Deutschland			Herzog August Bibliothek Wolfenbüttel	Bibliothek	Q663820	http://www.wikidata.org/entity/Q663820	Herzog August Bibliothek	Q219410	02y5mkh60	https://ror.org/02y5mkh60									
Helmut-Schmidt-Universität, Universität der Bundeswehr, Hamburg	Deutschland	Hamburg	Q1055	Helmut-Schmidt-Universität, Universität der Bundeswehr	Universität	Q530991	http://www.wikidata.org/entity/Q530991	Helmut-Schmidt-Universität		04e8jbs38	https://ror.org/04e8jbs38									
Herder-Institut für historische Ostmitteleuropaforschung – Institut der Leibniz-Gemeinschaft	Deutschland			Herder-Institut für historische Ostmitteleuropaforschung		Q870192	http://www.wikidata.org/entity/Q870192	Herder-Institut	Q23633	00sngv739	https://ror.org/00sngv739									
Herder-Institut für historische Ostmitteleuropaforschung, Marburg	Deutschland	Marburg	Q3869	Herder-Institut für historische Ostmitteleuropaforschung		Q870192	http://www.wikidata.org/entity/Q870192	Herder-Institut	Q23633	00sngv739	https://ror.org/00sngv739									
Herder-Institut Marburg	Deutschland	Marburg	Q3869	Herder-Institut für historische Ostmitteleuropaforschung		Q870192	http://www.wikidata.org/entity/Q870192	Herder-Institut	Q23633	00sngv739	https://ror.org/00sngv739									
Hochschule Reutlingen, Deutschland	Deutschland	Reutlingen	Q3085	Hochschule Reutlingen		Q317125	http://www.wikidata.org/entity/Q317125	Hochschule Reutlingen		00q644y50	https://ror.org/00q644y50									
Humanities Data Center, Staats- und Universitätsbibliothek Göttingen	Deutschland	Göttingen	Q3033	Niedersächsische Staats- und Universitätsbibliothek Göttingen	Bibliothek	Q564783	http://www.wikidata.org/entity/Q564783	Niedersächsische Staats- und Universitätsbibliothek Göttingen	Q21881											
Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland	Deutschland	Berlin	Q64	Berlin-Brandenburgische Akademie der Wissenschaften	Akademie	Q219989	http://www.wikidata.org/entity/Q219989	Berlin-Brandenburgische Akademie der Wissenschaften	Q230420	05jgq9443	https://ror.org/05jgq9443									
Humboldt-Universität zu Berlin, Institut für Bibliotheks- und Informationswissenschaft, Deutschland	Deutschland	Berlin	Q64	Humboldt-Universität zu Berlin	Universität	Q152087	http://www.wikidata.org/entity/Q152087	Humboldt-Universität zu Berlin	Q22837	01hcx6992	https://ror.org/01hcx6992		Institut für Bibliotheks- und Informationswissenschaft	Q1592185	http://www.wikidata.org/entity/Q1592185	Institut für Bibliotheks- und Informationswissenschaft				
IANUS, Deutsches Archäologisches Institut	Deutschland			Deutsches Archäologisches Institut		Q695302	http://www.wikidata.org/entity/Q695302	Deutsches Archäologisches Institut	Q147762	041qv0h25	https://ror.org/041qv0h25		IANUS							https://ianus-fdz.de
Ibero-Amerikanisches Institut, Deutschland	Deutschland			Ibero-Amerikanisches Institut		Q568704	http://www.wikidata.org/entity/Q568704	Ibero-Amerikanisches Institut		03bc1mz40	https://ror.org/03bc1mz40									
IDS-Mannnheim, Deutschland	Deutschland	Mannheim	Q2119	Institut für Deutsche Sprache Mannheim		Q1664834	http://www.wikidata.org/entity/Q1664834	Leibniz-Institut für Deutsche Sprache		00hvwkt50	https://ror.org/00hvwkt50									
Institut für Deutsche Sprache Mannheim, Deutschland	Deutschland	Mannheim	Q2119	Institut für Deutsche Sprache Mannheim		Q1664834	http://www.wikidata.org/entity/Q1664834	Leibniz-Institut für Deutsche Sprache		00hvwkt50	https://ror.org/00hvwkt50									
Institut für deutsche Sprache, Mannheim, Deutschland	Deutschland	Mannheim	Q2119	Institut für Deutsche Sprache Mannheim		Q1664834	http://www.wikidata.org/entity/Q1664834	Leibniz-Institut für Deutsche Sprache		00hvwkt50	https://ror.org/00hvwkt50									
