orig_string,country,city,parent_institution_normalized,institutional_subunit_normalized
"Österreichische Akademie der Wissenschaften, Austria",Österreich,Wien,Österreichische Akademie der Wissenschaften,
"Österreichische Akademie der Wissenschaften, Austrian Centre for Digital Humanities and Cultural Heritage (ACDH-CH)",Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
"Rheinische Friedrich-Wilhelms-Universität Bonn, Deutschland",Deutschland,Bonn,"Rheinische Friedrich-Wilhelms-Universität Bonn, Deutschland",
"Ruhr-Universität Bochum, Deutschland",Deutschland,Bochum,"Ruhr-Universität Bochum, Deutschland",
"Ruhr-Universität Bochum, Germany",Deutschland,Bochum,"Ruhr-Universität Bochum, Germany",
Schweizerisches Literaturarchiv,Schweiz,,Schweizerisches Literaturarchiv,
"Spezielle Botanik und Funktionelle Biodiversität, Universität Leipzig",Deutschland,Leipzig,Universität Leipzig,
"Deutsches Zentrum für integrative Biodiversitätsforschung (iDiv), Halle-Jena-Leipzig",Deutschland,Jena,"Deutsches Zentrum für integrative Biodiversitätsforschung (iDiv), Halle-Jena-Leipzig",
"Max-Planck-Institut für Biogeochemie, Jena",Deutschland,Jena,"Max-Planck-Institut für Biogeochemie, Jena",
"Spotlight on Innovation (SPOTIN) NPCC, Greece",Griechenland,,"Spotlight on Innovation (SPOTIN) NPCC, Greece",
"Technische Universität Darmstadt, Deutschland",Deutschland,Darmstadt,"Technische Universität Darmstadt, Deutschland",
"Technische Universität Darmstadt, Germany",Deutschland,Darmstadt,"Technische Universität Darmstadt, Germany",
Technische Universität Darmstadt,Deutschland,Darmstadt,Technische Universität Darmstadt,
"The Open University, United Kingdom",Vereinigtes Königreich,,"The Open University, United Kingdom",
"Theodor-Fontane-Archiv, Universität Potsdam",Deutschland,Potsdam,Universität Potsdam,Theodor-Fontane-Archiv
"Thüringer Universitäts- und Landesbibliothek, Germany",Deutschland,,"Thüringer Universitäts- und Landesbibliothek, Germany",
"TU Darmstadt, Germany",Deutschland,Darmstadt,"TU Darmstadt, Germany",
"TU Dresden, Germany",Deutschland,Dresden,"TU Dresden, Germany",
"UCLAB, Fachhochschule Potsdam, Germany",Deutschland,Potsdam,Fachhochschule Potsdam,
Universität Bamberg,Deutschland,Bamberg,Universität Bamberg,
"Universität Bielefeld, Germany",Deutschland,Bielefeld,"Universität Bielefeld, Germany",
Universität Bielefeld,Deutschland,Bielefeld,Universität Bielefeld,
"Universität Graz, Austria",Österreich,Graz,"Universität Graz, Austria",
"Universität Hamburg, Deutschland",Deutschland,Hamburg,"Universität Hamburg, Deutschland",
"Universität Hamburg, Germany",Deutschland,Hamburg,"Universität Hamburg, Germany",
"Universität Köln, Germany",Deutschland,Köln,Universität zu Köln,
"Universität Leipzig, Deutschland",Deutschland,Leipzig,Universität Leipzig,
"Universität Leipzig, Germany",Deutschland,Leipzig,Universität Leipzig,
"Universität Paderborn, Germany",Deutschland,Paderborn,"Universität Paderborn, Germany",
"Universität Potsdam, Germany",Deutschland,Potsdam,Universität Potsdam,
Universität Potsdam,Deutschland,Potsdam,Universität Potsdam,
"Universität Rostock, Germany",Deutschland,Rostock,"Universität Rostock, Germany",
"Universität Stuttgart, Germany",Deutschland,Stuttgart,Universität Stuttgart,
"Universität Stuttgart, Institut für maschinelle Sprachverarbeitung",Deutschland,Stuttgart,Universität Stuttgart,Institut für Maschinelle Sprachverarbeitung
Universität Stuttgart,Deutschland,Stuttgart,Universität Stuttgart,
"Universität Trier, Germany",Deutschland,Trier,"Universität Trier, Germany",
"Universität Tübingen, Germany",Deutschland,Tübingen,"Universität Tübingen, Germany",
"Universität zu Köln, Deutschland",Deutschland,Köln,Universität zu Köln,
"Universität zu Köln, Germany",Deutschland,Köln,Universität zu Köln,
"Universitätsbibliothek Braunschweig, Deutschland",Deutschland,Braunschweig,"Universitätsbibliothek Braunschweig, Deutschland",
Universitätsbibliothek Erlangen-Nürnberg,Deutschland,,Universitätsbibliothek Erlangen-Nürnberg,
University of Zurich,Schweiz,Zürich,University of Zurich,
"Wienbibliothek im Rathaus, Austria",Österreich,Wien,Wienbibliothek im Rathaus,
"Xorostasi NPCC, Greece",Griechenland,,"Xorostasi NPCC, Greece",
"Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz, Österreich",Österreich,Graz,Karl-Franzens-Universität Graz,
"Akademie der Wissenschaften und der Literatur | Mainz, Deutschland",Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
"Akademie der Wissenschaften und der Literatur Mainz, Deutschland",Deutschland,Mainz,Akademie der Wissenschaften und der Literatur Mainz,
Albert-Ludwigs-Universität Freiburg,Deutschland,Freiburg,Albert-Ludwigs-Universität Freiburg,
"Austrian Academy of Sciences, Österreich",Österreich,Wien,Österreichische Akademie der Wissenschaften,
"Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften",Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
"Bayerische Akademie der Wissenschaften, Deutschland",Deutschland,,"Bayerische Akademie der Wissenschaften, Deutschland",
"Bayerische Akademie der Wissenschaften, München",Deutschland,München,Bayerische Akademie der Wissenschaften,
"Bayerische Staatsbilbliothek, München",Deutschland,München,Bayerische Staatsbibliothek,
"Bergische Universität Wuppertal, Deutschland",Deutschland,Wuppertal,"Bergische Universität Wuppertal, Deutschland",
Bergische Universität Wuppertal,Deutschland,Wuppertal,Bergische Universität Wuppertal,
Herzog August Bibliothek Wolfenbüttel,Deutschland,Wolfenbüttel,Herzog August Bibliothek Wolfenbüttel,
Berlin,Deutschland,Berlin,Berlin,
"Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland",Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,
Centre for Contemporary and Digital History (C2DH) Luxembourg University,Luxemburg,,Centre for Contemporary and Digital History (C2DH) Luxembourg University,
"College of Engineering, Trivandrum, Indien",Indien,,"College of Engineering, Trivandrum, Indien",
"College of Social Sciences and Humanities at the Northeastern University, USA",USA,,"College of Social Sciences and Humanities at the Northeastern University, USA",
"Deutsche Nationalbibliothek Arbeitsstelle für Standardisierung, Leipzig",Deutschland,Leipzig,Deutsche Nationalbibliothek,Arbeitsstelle für Standardisierung
"Deutsche Nationalbibliothek, Deutschland",Deutschland,,"Deutsche Nationalbibliothek, Deutschland",
Deutsche Nationalbibliothek,Deutschland,,Deutsche Nationalbibliothek,
"Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg, Marburg",Deutschland,Marburg,"Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg, Marburg",
"Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI), Berlin",Deutschland,Berlin,Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI),
"DFG Graduierten Kolleg ""Modell Romantik""",Deutschland,,"DFG Graduierten Kolleg ""Modell Romantik""",
Jena University Language & Information Engineering Lab (JULIE Lab),Deutschland,Jena,Jena University Language & Information Engineering Lab (JULIE Lab),
Ella Media GmbH,,,Ella Media GmbH,
"English Department at the University of California, USA",USA,,"English Department at the University of California, USA",
"ETH Zürich, Schweiz",Schweiz,Zürich,"ETH Zürich, Schweiz",
"Fachhochschule Potsdam, Deutschland",Deutschland,Potsdam,Fachhochschule Potsdam,
"Fachhochschule Potsdam, Fachbereich Informationswissenschaften, RDMO, Deutschland",Deutschland,Potsdam,Fachhochschule Potsdam,
Fachhochschule Potsdam,Deutschland,Potsdam,Fachhochschule Potsdam,
"FAU Erlangen, Deutschland",Deutschland,,"FAU Erlangen, Deutschland",
"FAU Erlangen-Nürnberg, Deutschland",Deutschland,,"FAU Erlangen-Nürnberg, Deutschland",
"FAU Erlangen-Nürnberg, Informatik, Deutschland",Deutschland,,"FAU Erlangen-Nürnberg, Informatik, Deutschland",
"Bibliotheca Hertziana, Rom, Italien",Italien,Rom,"Bibliotheca Hertziana, Rom, Italien",
Folkwang Universität der Künste Essen,Deutschland,Essen,Folkwang Universität der Künste Essen,
"Forschungsverbund Marbach Weimar Wolfenbüttel, Deutschland",Deutschland,,"Forschungsverbund Marbach Weimar Wolfenbüttel, Deutschland",
"Forschungsverbund MWW, Herzog August Bibliothek Wolfenbüttel, Deutschland",Deutschland,,"Forschungsverbund MWW, Herzog August Bibliothek Wolfenbüttel, Deutschland",
"Freie Universität Berlin, Deutschland",Deutschland,Berlin,Freie Universität Berlin,
Friedrich-Alexander-Universität Erlangen-Nürnberg,Deutschland,,Friedrich-Alexander-Universität Erlangen-Nürnberg,
"Friedrich-Schiller-Universität Jena, Deutschland",Deutschland,Jena,"Friedrich-Schiller-Universität Jena, Deutschland",
"Georg-August Universität Göttingen, Deutschland",Deutschland,Göttingen,Georg-August Universität Göttingen,
"Georg-Eckert-Institut - Leibniz-Institut für internationale Schulbuchforschung, Deutschland",Deutschland,,"Georg-Eckert-Institut - Leibniz-Institut für internationale Schulbuchforschung, Deutschland",
GrazMuseum,Österreich,Graz,GrazMuseum,
Hamburg,Deutschland,Hamburg,Hamburg,
Heinrich-Heine-Universität Düsseldorf,Deutschland,Düsseldorf,Heinrich-Heine-Universität Düsseldorf,
"Herzog August Bibliothek Wolfenbüttel, Deutschland",Deutschland,Wolfenbüttel,"Herzog August Bibliothek Wolfenbüttel, Deutschland",
"Herzog-August-Bibliothek Wolfenbüttel, Deutschland",Deutschland,Wolfenbüttel,"Herzog-August-Bibliothek Wolfenbüttel, Deutschland",
"Higher School of Economics Moskau, Russland",Russland,Moskau,National Research University Higher School of Economics,
"Higher School of Economics, Moskau, Russland",Russland,Moskau,National Research University Higher School of Economics,
"Historische Kommission bei der Bayerischen Akademie der Wissenschaften, Deutschland",Deutschland,,"Historische Kommission bei der Bayerischen Akademie der Wissenschaften, Deutschland",
"Hochschule Darmstadt, Fachbereich Media, HeFDI, Deutschland",Deutschland,Darmstadt,"Hochschule Darmstadt, Fachbereich Media, HeFDI, Deutschland",
Hochschule für Angewandte Wissenschaften Hamburg,Deutschland,Hamburg,Hochschule für Angewandte Wissenschaften Hamburg,
"Hochschule für Jüdische Studien Heidelberg, Deutschland",Deutschland,Heidelberg,"Hochschule für Jüdische Studien Heidelberg, Deutschland",
"Hochschule Luzern, Schweiz",Schweiz,Luzern,"Hochschule Luzern, Schweiz",
"Hochschule Mainz, Deutschland",Deutschland,Mainz,Hochschule Mainz,
Höchstleistungsrechenzentrum Stuttgart,Deutschland,Stuttgart,Höchstleistungsrechenzentrum Stuttgart,
"HS Mainz, Deutschland",Deutschland,Mainz,Hochschule Mainz,
"HSE University, Russland",Russland,Moskau,National Research University Higher School of Economics,
"HTWK Leipzig, Deutschland",Deutschland,Leipzig,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",
HTWK Leipzig,Deutschland,Leipzig,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",
Humboldt Universität Berlin,Deutschland,Berlin,Humboldt-Universität zu Berlin,
"Humboldt-Universität zu Berlin, Deutschland",Deutschland,Berlin,Humboldt-Universität zu Berlin,
"Institut für Digital Humanities, Universität zu Köln, Deutschland",Deutschland,Köln,Universität zu Köln,Institut für Digital Humanities
"Institut für Kunstgeschichte, Ludwig-Maximilians-Universität München, Deutschland",Deutschland,München,Ludwig-Maximilians Universität München,Institut für Kunstgeschichte
Institut für Literaturwissenschaft / Digital Humanities der Universität Stuttgart,Deutschland,Stuttgart,Universität Stuttgart,Institut für Literaturwissenschaft / Digital Humanities
Institut für maschinelle Sprachverarbeitung der Universität Stuttgart,Deutschland,Stuttgart,Universität Stuttgart,Institut für Maschinelle Sprachverarbeitung
"Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg",Österreich,Salzburg,"Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg",
"IT-Gruppe Geisteswissenschaften, Ludwig-Maximilians-Universität München, Deutschland",Deutschland,München,Ludwig-Maximilians Universität München,IT-Gruppe Geisteswissenschaften
"IZdigital, Friedrich-Alexander-Universität Erlangen-Nürnberg",Deutschland,,"IZdigital, Friedrich-Alexander-Universität Erlangen-Nürnberg",
Jena University Language & Information Engineering Lab (JULIE Lab),Deutschland,Jena,Jena University Language & Information Engineering Lab (JULIE Lab),
"JGU Mainz, Deutschland",Deutschland,Mainz,Johannes Gutenberg-Universität Mainz,
"JMU Würzburg, Deutschland",Deutschland,Würzburg,"JMU Würzburg, Deutschland",
"Julius-Maximilians-Universität Würzburg, Deutschland",Deutschland,Würzburg,"Julius-Maximilians-Universität Würzburg, Deutschland",
Karlsruher Institut für Technologie,Deutschland,Karlsruhe,Karlsruher Institut für Technologie,
"KNAW Huygens ING, Amsterdam",Niederland,Amsterdam,"KNAW Huygens ING, Amsterdam",
Universität Utrecht,Niederlande,Utrecht,Universität Utrecht,
"Know-Center Graz, Österreich",Österreich,Graz,"Know-Center Graz, Österreich",
KU Eichstätt - Ingolstadt,Deutschland,,KU Eichstätt - Ingolstadt,
"Lehrstuhl Medieninformatik, Universität Regensburg, Deutschland",Deutschland,Regensburg,"Lehrstuhl Medieninformatik, Universität Regensburg, Deutschland",
"Leibniz-Institut für Deutsche Sprache, Deutschland",Deutschland,,"Leibniz-Institut für Deutsche Sprache, Deutschland",
"Leibniz-Institut für Deutsche Sprache, Mannheim",Deutschland,Mannheim,"Leibniz-Institut für Deutsche Sprache, Mannheim",
"Leibniz-Institut für Europäische Geschichte (IEG), Deutschland",Deutschland,,"Leibniz-Institut für Europäische Geschichte (IEG), Deutschland",
"Max Weber Stiftung (MWS), Deutschland",Deutschland,,"Max Weber Stiftung (MWS), Deutschland",
"Leibniz-Institut für Europäische Geschichte, Mainz",Deutschland,Mainz,Leibniz-Institut für Europäische Geschichte,
"Leibniz-Institut für Geschichte und Kultur des östlichen Europa (GWZO), Deutschland",Deutschland,,"Leibniz-Institut für Geschichte und Kultur des östlichen Europa (GWZO), Deutschland",
Leipzig,Deutschland,Leipzig,Leipzig,
Leopoldina – Nationale Akademie der Wissenschaften,Deutschland,,Leopoldina – Nationale Akademie der Wissenschaften,
"Leopoldina, Halle (Saale)",Deutschland,Halle,"Leopoldina, Halle (Saale)",
Leuphana Universität Lüneburg,Deutschland,Lüneburg,Leuphana Universität Lüneburg,
"LMU München, Deutschland",Deutschland,München,Ludwig-Maximilians Universität München,
"LMU, München",Deutschland,München,Ludwig-Maximilians Universität München,
Ludwig-Maximilians Universität München,Deutschland,München,Ludwig-Maximilians Universität München,
"Ludwig-Maximilians-Universität München, Deutschland",Deutschland,München,Ludwig-Maximilians Universität München,
"Mainzer Zentrum für Digitalität in den Geistes- und Kulturwissenschaften, Deutschland",Deutschland,Mainz,Mainzer Zentrum für Digitalität in den Geistes- und Kulturwissenschaften,
"Martin-Luther-Universität Halle-Wittenberg, Deutschland",Deutschland,Halle,"Martin-Luther-Universität Halle-Wittenberg, Deutschland",
Martin-Luther-Universität Halle-Wittenberg,Deutschland,Halle,Martin-Luther-Universität Halle-Wittenberg,
"Max Weber Stiftung (MWS), Deutschland",Deutschland,,"Max Weber Stiftung (MWS), Deutschland",
"Max Weber Stiftung, Bonn",Deutschland,Bonn,"Max Weber Stiftung, Bonn",
"Max Weber Stiftung, Deutschland",Deutschland,,"Max Weber Stiftung, Deutschland",
Max Weber Stiftung,Deutschland,,Max Weber Stiftung,
"MITH, University of Maryland, College Park, MD, USA",USA,,"MITH, University of Maryland, College Park, MD, USA",
Munich Research,,,Munich Research,
"Österreichische Akademie der Wissenschaften, Austrian Centre for Digital Humanities",Österreich,Wien,Österreichische Akademie der Wissenschaften,Austrian Centre for Digital Humanities and Cultural Heritage
dataforhistory.org,,,dataforhistory.org,
"Österreichische Akademie der Wissenschaften, Österreich",Österreich,Wien,Österreichische Akademie der Wissenschaften,
CLARIN ERIC,,,CLARIN ERIC,
Österreichische Akademie der Wissenschaften,Österreich,Wien,Österreichische Akademie der Wissenschaften,
Österreichische Nationalbibliothek,Österreich,Wien,Österreichische Nationalbibliothek,
"Otto-Friedrich-Universität Bamberg, Deutschland",Deutschland,Bamberg,"Otto-Friedrich-Universität Bamberg, Deutschland",
"Pedagogical University of Kraków, Polen",Polen,Krakau,"Pedagogical University of Kraków, Polen",
"Philipps-Universität Marburg, Deutschland",Deutschland,Marburg,"Philipps-Universität Marburg, Deutschland",
"Philipps-Universität Marburg, Marburg Center for Digital Culture & Infrastructure (MCDCI), Deutschland",Deutschland,Marburg,"Philipps-Universität Marburg, Marburg Center for Digital Culture & Infrastructure (MCDCI), Deutschland",
Ruhr-Universität Bochum,Deutschland,Bochum,Ruhr-Universität Bochum,
Sächsische Akademie der Wissenschaften zu Leipzig,Deutschland,Leipzig,Sächsische Akademie der Wissenschaften zu Leipzig,
"Staats- und Universitätsbibliothek Dresden, Deutschland",Deutschland,Dresden,"Staats- und Universitätsbibliothek Dresden, Deutschland",
Staatsbibliothek Berlin,Deutschland,Berlin,Staatsbibliothek Berlin,
"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Deutschland",Deutschland,Berlin,"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Deutschland",
Stadtarchiv Graz,Österreich,Graz,Stadtarchiv Graz,
Steinheim-Institut,Deutschland,,Steinheim-Institut,
"Technische Hochschule Georg Simon Ohm, Kesslerplatz 12, 90489 Nürnberg, Deutschland",Deutschland,Nürnberg,"Technische Hochschule Georg Simon Ohm, Kesslerplatz 12, 90489 Nürnberg, Deutschland",
"Technische Universität Graz, Österreich",Österreich,Graz,"Technische Universität Graz, Österreich",
Telota/Berlin-Brandenburgische Akademie der Wissenschaften,Deutschland,Berlin,Berlin-Brandenburgische Akademie der Wissenschaften,Telota
Textloop,,,Textloop,
"The University of Edinburgh, Law School, Vereinigtes Königreich",Vereinigtes Königreich,Edinburgh,"The University of Edinburgh, Law School, Vereinigtes Königreich",
"TU Berlin, Deutschland",Deutschland,Berlin,Technische Universität Berlin,
"Bibliotheca Hertziana, Rom, Italien",Italien,Rom,"Bibliotheca Hertziana, Rom, Italien",
TU Berlin,Deutschland,Berlin,Technische Universität Berlin,
"TU Darmstadt, Deutschland",Deutschland,Darmstadt,"TU Darmstadt, Deutschland",
"TU Dresden, Deutschland",Deutschland,Dresden,"TU Dresden, Deutschland",
"UCLAB, Fachhochschule Potsdam, Deutschland",Deutschland,Potsdam,Fachhochschule Potsdam,
ULB Darmstadt,Deutschland,Darmstadt,ULB Darmstadt,
FH Potsdam,Deutschland,Potsdam,Fachhochschule Potsdam,
"Uni Passau, Deutschland",Deutschland,Passau,"Uni Passau, Deutschland",
"Univerität Bielefeld - SFB 1288 Praktiken des Vergleichens, Deutschland",Deutschland,Bielefeld,"Univerität Bielefeld - SFB 1288 Praktiken des Vergleichens, Deutschland",
"Universität Basel, Schweiz",Schweiz,Basel,"Universität Basel, Schweiz",
"Universität Bern, Schweiz",Schweiz,Bern,"Universität Bern, Schweiz",
"Universität Bielefeld, Deutschland",Deutschland,Bielefeld,"Universität Bielefeld, Deutschland",
"Universität des Saarlandes, Lehrstuhl für Neuere deutsche Literaturwissenschaft | Medienwissenschaft, Saarbrücken, Deutschland",Deutschland,Saarbrücken,"Universität des Saarlandes, Lehrstuhl für Neuere deutsche Literaturwissenschaft | Medienwissenschaft, Saarbrücken, Deutschland",
"Universität Duisburg-Essen, Deutschland",Deutschland,,"Universität Duisburg-Essen, Deutschland",
Universität Erfurt,Deutschland,Erfurt,Universität Erfurt,
"Universität Graz, Österreich",Österreich,Graz,"Universität Graz, Österreich",
"Universität Greifswald, Deutschland",Deutschland,Greifswald,"Universität Greifswald, Deutschland",
Universität Hamburg,Deutschland,Hamburg,Universität Hamburg,
"Universität Heidelberg, Deutschland",Deutschland,Heidelberg,"Universität Heidelberg, Deutschland",
"Universität Innsbruck, Österreich",Österreich,Innsbruck,"Universität Innsbruck, Österreich",
Universität Mailand,Italien,Mailand,Universität Mailand,
"Universität Münster, Deutschland",Deutschland,Münster,"Universität Münster, Deutschland",
"Universität Paderborn, Deutschland",Deutschland,Paderborn,"Universität Paderborn, Deutschland",
"Universität Paderborn, Musikwissenschaftliches Seminar Detmold/Paderborn, Deutschland",Deutschland,,"Universität Paderborn, Musikwissenschaftliches Seminar Detmold/Paderborn, Deutschland",
Universität Paderborn,Deutschland,Paderborn,Universität Paderborn,
"Universität Passau, Deutschland",Deutschland,Passau,"Universität Passau, Deutschland",
"Universität Postdam, Deutschland",Deutschland,Potsdam,Universität Potsdam,
"Universität Regensburg, Deutschland",Deutschland,Regensburg,"Universität Regensburg, Deutschland",
"Universität Sankt Gallen, CH",Schweiz,Sankt Gallen,"Universität Sankt Gallen, CH",
"Universität Siegen, Deutschland",Deutschland,Siegen,"Universität Siegen, Deutschland",
"Universität Stuttgart, Deutschland",Deutschland,Stuttgart,Universität Stuttgart,
"Universität Köln, Deutschland",Deutschland,Köln,Universität zu Köln,
"Universität Stuttgart, Institut für Architektur von Anwendungssystemen (IAAS)",Deutschland,Stuttgart,Universität Stuttgart,Institut für Architektur von Anwendungssystemen
Universität zu Köln,Deutschland,Köln,Universität zu Köln,
"Universität Trier, Deutschland",Deutschland,Trier,"Universität Trier, Deutschland",
"Universität Trier, Servicezentrum eSciences, Deutschland",Deutschland,Trier,"Universität Trier, Servicezentrum eSciences, Deutschland",
"Universität Wien, Österreich",Österreich,Wien,Universität Wien,
